2025/07/18 19:50:15.215101 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 1
2025/07/18 19:50:15.717765 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5 6 18
2025/07/18 19:50:15.717920 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9
2025/07/18 19:50:15.717930 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 14
2025/07/18 19:50:15.768151 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9
2025/07/18 19:50:15.768166 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 14
2025/07/18 19:50:15.768179 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 11
2025/07/18 19:50:15.818375 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 11
2025/07/18 19:50:15.962033 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13
2025/07/18 19:50:15.969252 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13
2025/07/18 19:50:16.019575 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13 15
2025/07/18 19:50:16.069775 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13 15
2025/07/18 19:50:16.170551 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16
2025/07/18 19:50:16.170578 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16 17
2025/07/18 19:50:16.220759 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16
2025/07/18 19:50:16.220787 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16 17
2025/07/18 19:50:18.066718 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 1
2025/07/18 19:50:18.066732 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, metric 0, path 2
2025/07/18 19:50:18.066744 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3
2025/07/18 19:50:18.066752 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4
2025/07/18 19:50:18.066760 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5
2025/07/18 19:50:18.066767 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5 6
2025/07/18 19:50:18.066775 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7
2025/07/18 19:50:18.066783 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8
2025/07/18 19:50:18.066790 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9
2025/07/18 19:50:18.066797 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 10
2025/07/18 19:50:18.066839 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 11
2025/07/18 19:50:18.066847 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12
2025/07/18 19:50:18.066855 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13
2025/07/18 19:50:18.066863 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 14
2025/07/18 19:50:18.066870 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13 15
2025/07/18 19:50:18.066878 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16
2025/07/18 19:50:18.066886 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16 17
2025/07/18 19:50:18.066894 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18
2025/07/18 19:50:18.174493 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 1
2025/07/18 19:50:18.174510 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2
2025/07/18 19:50:18.174523 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3
2025/07/18 19:50:18.174533 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, metric 0, path 4
2025/07/18 19:50:18.174543 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5
2025/07/18 19:50:18.174553 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5 6
2025/07/18 19:50:18.174563 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7
2025/07/18 19:50:18.174572 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8
2025/07/18 19:50:18.174583 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9
2025/07/18 19:50:18.174592 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 10
2025/07/18 19:50:18.174641 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 11
2025/07/18 19:50:18.174651 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12
2025/07/18 19:50:18.174661 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13
2025/07/18 19:50:18.174670 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 14
2025/07/18 19:50:18.174679 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13 15
2025/07/18 19:50:18.174689 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16
2025/07/18 19:50:18.174699 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16 17
2025/07/18 19:50:18.174708 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18
2025/07/18 19:50:18.513125 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 1
2025/07/18 19:50:18.513141 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, metric 0, path 2
2025/07/18 19:50:18.513156 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3
2025/07/18 19:50:18.513169 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4
2025/07/18 19:50:18.513181 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5
2025/07/18 19:50:18.513214 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5 6
2025/07/18 19:50:18.513227 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7
2025/07/18 19:50:18.513239 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8
2025/07/18 19:50:18.513251 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9
2025/07/18 19:50:18.513263 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 10
2025/07/18 19:50:18.513617 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 11
2025/07/18 19:50:18.513633 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12
2025/07/18 19:50:18.513646 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13
2025/07/18 19:50:18.513659 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 14
2025/07/18 19:50:18.513672 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13 15
2025/07/18 19:50:18.513685 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16
2025/07/18 19:50:18.513697 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16 17
2025/07/18 19:50:18.513707 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18
2025/07/18 19:50:18.513719 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 1
2025/07/18 19:50:18.513728 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2
2025/07/18 19:50:18.513739 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3
2025/07/18 19:50:18.513751 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, metric 0, path 4
2025/07/18 19:50:18.513763 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5
2025/07/18 19:50:18.513775 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5 6
2025/07/18 19:50:18.513787 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7
2025/07/18 19:50:18.513799 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8
2025/07/18 19:50:18.513810 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9
2025/07/18 19:50:18.513823 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 10
2025/07/18 19:50:18.513900 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 11
2025/07/18 19:50:18.513913 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12
2025/07/18 19:50:18.513925 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13
2025/07/18 19:50:18.513936 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 14
2025/07/18 19:50:18.513948 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13 15
2025/07/18 19:50:18.513961 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16
2025/07/18 19:50:18.513973 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16 17
2025/07/18 19:50:18.513985 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18
2025/07/18 19:50:19.014137 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 1
2025/07/18 19:50:19.014152 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2
2025/07/18 19:50:19.014162 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3
2025/07/18 19:50:19.014172 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, metric 0, path 4
2025/07/18 19:50:19.014181 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5
2025/07/18 19:50:19.014206 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7 5 6
2025/07/18 19:50:19.014215 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 7
2025/07/18 19:50:19.014224 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8
2025/07/18 19:50:19.014233 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9
2025/07/18 19:50:19.014242 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 10
2025/07/18 19:50:19.014291 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 11
2025/07/18 19:50:19.014301 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12
2025/07/18 19:50:19.014310 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13
2025/07/18 19:50:19.014324 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 14
2025/07/18 19:50:19.014336 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 3 12 13 15
2025/07/18 19:50:19.014349 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16
2025/07/18 19:50:19.014362 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18 16 17
2025/07/18 19:50:19.014376 BGP: [XXWBM-V772F] 9.0.1.2(bgpd-R4) rcvd UPDATE w/ attr: nexthop 9.0.1.2, origin i, path 4 2 8 9 18
2025/07/18 19:50:19.014405 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 1
2025/07/18 19:50:19.014412 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, metric 0, path 2
2025/07/18 19:50:19.014420 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3
2025/07/18 19:50:19.014429 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4
2025/07/18 19:50:19.014437 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5
2025/07/18 19:50:19.014446 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7 5 6
2025/07/18 19:50:19.014454 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 7
2025/07/18 19:50:19.014462 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8
2025/07/18 19:50:19.014470 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9
2025/07/18 19:50:19.014478 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 10
2025/07/18 19:50:19.014514 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 11
2025/07/18 19:50:19.014522 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12
2025/07/18 19:50:19.014531 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13
2025/07/18 19:50:19.014539 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 14
2025/07/18 19:50:19.014548 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 4 3 12 13 15
2025/07/18 19:50:19.014556 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16
2025/07/18 19:50:19.014565 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18 16 17
2025/07/18 19:50:19.014573 BGP: [XXWBM-V772F] 9.0.0.2(bgpd-R2) rcvd UPDATE w/ attr: nexthop 9.0.0.2, origin i, path 2 8 9 18
